"timestamps","TP9","AF7","AF8","TP10","Right AUX"
"1773260161.45012","26.85546875","55.17578125","91.796875","548.33984375","12.6953125"
"1773260161.45403","29.78515625","51.7578125","-86.42578125","-172.36328125","52.24609375"
"1773260161.45794","25.87890625","43.9453125","-333.49609375","-547.36328125","62.01171875"
"1773260161.46184","21.97265625","41.9921875","-215.8203125","104.00390625","52.24609375"
"1773260161.46575","26.3671875","41.015625","20.99609375","585.9375","8.30078125"
"1773260161.46966","31.73828125","35.15625","-90.33203125","52.24609375","20.99609375"
"1773260161.47356","32.71484375","31.73828125","-496.58203125","-540.0390625","20.99609375"
"1773260161.47747","23.92578125","36.1328125","-479.00390625","-126.953125","-36.1328125"
"1773260161.48137","27.34375","25.87890625","-175.78125","550.29296875","-20.99609375"
"1773260161.48528","36.1328125","24.90234375","-220.21484375","290.52734375","-20.5078125"
"1773260161.48919","49.31640625","39.0625","-321.2890625","-427.24609375","-4.8828125"
"1773260161.49309","62.01171875","43.45703125","-441.89453125","-298.33984375","42.96875"
"1773260161.497","26.85546875","55.17578125","91.796875","548.33984375","12.6953125"
"1773260161.50091","29.78515625","51.7578125","-86.42578125","-172.36328125","52.24609375"
"1773260161.50481","25.87890625","43.9453125","-333.49609375","-547.36328125","62.01171875"
"1773260161.50872","21.97265625","41.9921875","-215.8203125","104.00390625","52.24609375"
"1773260161.51262","26.3671875","41.015625","20.99609375","585.9375","8.30078125"
"1773260161.51653","31.73828125","35.15625","-90.33203125","52.24609375","20.99609375"
"1773260161.52044","32.71484375","31.73828125","-496.58203125","-540.0390625","20.99609375"
"1773260161.52434","23.92578125","36.1328125","-479.00390625","-126.953125","-36.1328125"
"1773260161.52825","27.34375","25.87890625","-175.78125","550.29296875","-20.99609375"
"1773260161.53216","36.1328125","24.90234375","-220.21484375","290.52734375","-20.5078125"
"1773260161.53606","49.31640625","39.0625","-321.2890625","-427.24609375","-4.8828125"
"1773260161.53997","62.01171875","43.45703125","-441.89453125","-298.33984375","42.96875"
"1773260161.54387","26.85546875","55.17578125","91.796875","548.33984375","12.6953125"
"1773260161.54778","29.78515625","51.7578125","-86.42578125","-172.36328125","52.24609375"
"1773260161.55169","25.87890625","43.9453125","-333.49609375","-547.36328125","62.01171875"
"1773260161.55559","21.97265625","41.9921875","-215.8203125","104.00390625","52.24609375"
"1773260161.5595","26.3671875","41.015625","20.99609375","585.9375","8.30078125"
"1773260161.56341","31.73828125","35.15625","-90.33203125","52.24609375","20.99609375"
"1773260161.56731","32.71484375","31.73828125","-496.58203125","-540.0390625","20.99609375"
"1773260161.57122","23.92578125","36.1328125","-479.00390625","-126.953125","-36.1328125"
"1773260161.57512","27.34375","25.87890625","-175.78125","550.29296875","-20.99609375"
"1773260161.57903","36.1328125","24.90234375","-220.21484375","290.52734375","-20.5078125"
"1773260161.58294","49.31640625","39.0625","-321.2890625","-427.24609375","-4.8828125"
"1773260161.58684","62.01171875","43.45703125","-441.89453125","-298.33984375","42.96875"
"1773260161.59075","26.3671875","-32.71484375","508.30078125","165.52734375","72.265625"
"1773260161.59466","25.87890625","-46.38671875","38.0859375","-766.11328125","69.3359375"
"1773260161.59856","27.83203125","-38.57421875","-103.02734375","-270.99609375","89.35546875"
"1773260161.60247","32.71484375","-32.71484375","263.18359375","750.9765625","35.64453125"
"1773260161.60637","36.62109375","-36.62109375","463.8671875","490.234375","-4.39453125"
"1773260161.61028","37.59765625","-38.0859375","126.46484375","-611.328125","48.33984375"
"1773260161.61419","36.1328125","-40.0390625","-201.66015625","-555.17578125","19.04296875"
"1773260161.61809","29.296875","-29.78515625","18.06640625","568.84765625","-4.39453125"
"1773260161.622","29.296875","-9.765625","405.76171875","736.328125","-2.9296875"
"1773260161.62591","28.80859375","-7.8125","351.07421875","-374.51171875","28.80859375"
"1773260161.62981","28.80859375","-18.5546875","-71.2890625","-736.81640625","59.5703125"
"1773260161.63372","32.2265625","-24.90234375","43.9453125","291.50390625","1.953125"
"1773260161.63762","22.4609375","9.765625","5.37109375","310.05859375","41.9921875"
"1773260161.64153","41.9921875","28.3203125","31.73828125","862.3046875","44.921875"
"1773260161.64544","49.31640625","41.50390625","26.3671875","-98.14453125","2.9296875"
"1773260161.64934","50.78125","48.33984375","17.578125","-819.3359375","-0.48828125"
"1773260161.65325","68.359375","51.26953125","24.90234375","7.32421875","17.578125"
"1773260161.65716","68.359375","39.0625","30.76171875","871.09375","19.53125"
"1773260161.66106","55.6640625","42.48046875","41.50390625","264.6484375","35.15625"
"1773260161.66497","59.5703125","65.91796875","48.828125","-709.47265625","6.8359375"
"1773260161.66887","28.80859375","39.0625","33.203125","-309.08203125","29.296875"
"1773260161.67278","11.71875","6.34765625","19.53125","745.60546875","23.4375"
"1773260161.67669","21.97265625","12.6953125","21.484375","562.98828125","58.10546875"
"1773260161.68059","18.06640625","26.3671875","24.4140625","-583.49609375","47.36328125"
"1773260161.6845","61.03515625","0.0","-91.796875","-419.921875","52.734375"
"1773260161.68841","0.48828125","-50.29296875","149.90234375","454.1015625","59.08203125"
"1773260161.69231","-6.34765625","-71.2890625","704.1015625","578.61328125","21.97265625"
"1773260161.69622","36.1328125","-37.109375","437.5","-300.78125","-8.30078125"
"1773260161.70012","36.1328125","-37.109375","69.3359375","-591.796875","12.6953125"
"1773260161.70403","21.484375","-25.87890625","220.21484375","248.53515625","76.171875"
"1773260161.70794","31.25","9.27734375","520.01953125","688.96484375","64.94140625"
"1773260161.71184","38.57421875","28.3203125","379.39453125","-64.94140625","10.25390625"
"1773260161.71575","16.11328125","-3.41796875","-157.71484375","-669.921875","27.34375"
"1773260161.71966","18.5546875","-8.7890625","7.8125","-8.30078125","39.55078125"
"1773260161.72356","56.15234375","-6.34765625","617.1875","727.5390625","41.9921875"
"1773260161.72747","82.51953125","-22.94921875","655.76171875","250.9765625","27.83203125"
"1773260161.73137","81.0546875","11.71875","27.83203125","-857.91015625","2.9296875"
"1773260161.73528","88.37890625","33.203125","68.359375","281.73828125","41.9921875"
"1773260161.73919","75.1953125","38.57421875","107.91015625","-977.5390625","79.58984375"
"1773260161.74309","59.08203125","25.390625","79.1015625","56.15234375","92.28515625"
"1773260161.747","44.921875","56.640625","38.57421875","-930.17578125","41.50390625"
"1773260161.75091","32.2265625","93.26171875","46.38671875","-170.8984375","46.875"
"1773260161.75481","35.15625","67.87109375","58.10546875","954.58984375","52.24609375"
"1773260161.75872","51.26953125","61.03515625","54.19921875","464.35546875","49.31640625"
"1773260161.76262","42.96875","90.33203125","39.0625","-793.45703125","17.578125"
"1773260161.76653","16.6015625","80.078125","36.1328125","-535.15625","8.30078125"
"1773260161.77044","34.66796875","88.8671875","73.2421875","757.32421875","20.99609375"
"1773260161.77434","47.8515625","76.171875","71.2890625","741.69921875","37.59765625"
"1773260161.77825","53.7109375","48.828125","-251.953125","446.2890625","39.55078125"
"1773260161.78216","34.66796875","49.31640625","96.19140625","470.21484375","37.109375"
"1773260161.78606","32.2265625","51.26953125","-41.9921875","-300.78125","34.66796875"
"1773260161.78997","40.0390625","51.7578125","-369.140625","-460.9375","11.71875"
"1773260161.79387","34.66796875","40.52734375","-300.78125","264.16015625","40.0390625"
"1773260161.79778","35.15625","31.73828125","-53.22265625","565.4296875","39.55078125"
"1773260161.80169","38.57421875","30.2734375","-142.578125","-105.46875","18.5546875"
"1773260161.80559","30.76171875","35.15625","-419.921875","-527.83203125","37.59765625"
"1773260161.8095","31.73828125","33.203125","-520.5078125","69.82421875","62.01171875"
"1773260161.81341","40.0390625","39.55078125","-99.12109375","582.51953125","105.46875"
"1773260161.81731","39.0625","40.52734375","163.57421875","113.76953125","25.390625"
"1773260161.82122","37.109375","26.3671875","-261.71875","-513.671875","24.90234375"
