timestamps,TP9,AF7,AF8,TP10,Right AUX
1773252148.480125,44.921875,70.3125,-33.69140625,57.12890625,17.578125
1773252148.4840312,44.43359375,72.75390625,-21.484375,50.29296875,20.99609375
1773252148.4879375,51.26953125,72.75390625,-16.6015625,56.640625,6.34765625
1773252148.4918437,52.24609375,71.77734375,-22.4609375,53.22265625,20.99609375
1773252148.49575,46.875,71.2890625,-35.15625,40.0390625,-30.76171875
1773252148.4996562,44.921875,68.84765625,-30.2734375,43.45703125,15.625
1773252148.5035625,48.828125,67.87109375,-20.01953125,53.22265625,59.5703125
1773252148.5074687,49.8046875,67.3828125,-41.50390625,42.48046875,-20.5078125
1773252148.511375,39.55078125,67.87109375,-49.31640625,28.3203125,16.11328125
1773252148.5152812,32.2265625,67.3828125,-31.73828125,32.2265625,21.97265625
1773252148.5191875,25.87890625,65.91796875,-39.0625,37.59765625,6.8359375
1773252148.5230937,24.4140625,62.98828125,-35.64453125,35.64453125,3.41796875
1773252148.527,33.69140625,62.98828125,-33.203125,34.66796875,31.25
1773252148.5309062,32.71484375,64.453125,-38.0859375,33.203125,85.44921875
1773252148.5348125,32.2265625,60.546875,-41.9921875,31.73828125,66.89453125
1773252148.5387187,34.1796875,62.5,-38.57421875,33.69140625,63.4765625
1773252148.542625,41.9921875,62.5,-37.59765625,37.109375,69.3359375
1773252148.5465312,35.64453125,62.01171875,-52.734375,31.25,26.3671875
1773252148.5504375,31.73828125,64.453125,-55.17578125,26.85546875,4.39453125
1773252148.5543437,37.59765625,62.01171875,-56.640625,22.4609375,60.05859375
1773252148.55825,24.4140625,62.01171875,-37.59765625,18.06640625,60.05859375
1773252148.5621562,24.4140625,61.5234375,-25.390625,15.13671875,35.15625
1773252148.5660625,26.85546875,57.12890625,-50.78125,13.671875,57.12890625
1773252148.5699687,24.4140625,57.12890625,-51.7578125,14.16015625,-4.8828125
1773252148.573875,25.390625,60.05859375,-33.203125,17.08984375,43.45703125
1773252148.5777812,20.5078125,61.5234375,-50.29296875,14.6484375,94.23828125
1773252148.5816875,15.13671875,61.5234375,-68.359375,17.578125,26.3671875
1773252148.5855937,20.01953125,62.5,-57.6171875,20.01953125,17.578125
1773252148.5895,26.85546875,62.5,-53.7109375,3.90625,-8.30078125
1773252148.5934062,26.3671875,61.03515625,-59.08203125,12.6953125,-2.9296875
1773252148.5973125,24.90234375,60.05859375,-80.56640625,7.32421875,33.69140625
1773252148.6012187,27.83203125,62.01171875,-71.77734375,-10.7421875,98.6328125
1773252148.605125,28.3203125,60.546875,-29.78515625,5.859375,104.98046875
1773252148.6090312,31.25,60.546875,-43.9453125,9.765625,22.4609375
1773252148.6129375,37.59765625,62.5,-62.5,-0.48828125,62.01171875
1773252148.6168437,43.9453125,59.08203125,-62.01171875,3.41796875,65.4296875
1773252148.62075,41.50390625,63.96484375,-57.6171875,16.11328125,-23.4375
1773252148.6246562,24.4140625,67.87109375,-62.5,16.11328125,-24.90234375
1773252148.6285625,7.32421875,62.5,-73.73046875,20.99609375,-9.765625
1773252148.6324687,15.625,62.01171875,-62.98828125,30.76171875,5.859375
1773252148.636375,24.90234375,70.80078125,-57.12890625,28.80859375,33.69140625
1773252148.6402812,5.859375,78.125,-75.1953125,7.8125,10.7421875
1773252148.6441875,-5.859375,79.58984375,-92.28515625,-15.13671875,39.0625
1773252148.6480937,0.0,82.51953125,-73.2421875,-23.4375,113.28125
1773252148.652,3.41796875,87.890625,-71.2890625,-32.71484375,84.9609375
1773252148.6559062,7.32421875,93.26171875,-99.12109375,-43.45703125,37.109375
1773252148.6598125,-4.39453125,96.19140625,-103.02734375,-40.52734375,53.7109375
1773252148.6637187,-38.57421875,98.14453125,-98.14453125,-44.921875,31.73828125
1773252148.667625,-37.59765625,100.5859375,-104.00390625,-49.31640625,28.3203125
1773252148.6715312,-26.3671875,98.6328125,-103.515625,-39.0625,25.87890625
1773252148.6754375,-27.34375,94.7265625,-98.14453125,-41.50390625,51.26953125
1773252148.6793437,-18.5546875,95.21484375,-109.86328125,-23.4375,68.84765625
1773252148.68325,-1.953125,93.75,-111.328125,-3.41796875,34.66796875
1773252148.6871562,6.34765625,88.37890625,-119.140625,-19.53125,43.9453125
1773252148.6910625,4.39453125,85.9375,-108.88671875,-24.90234375,0.9765625
1773252148.6949687,-3.41796875,82.03125,-85.9375,-15.13671875,16.6015625
1773252148.698875,0.9765625,83.49609375,-96.19140625,-7.8125,41.50390625
1773252148.7027812,14.6484375,84.47265625,-92.7734375,2.44140625,15.13671875
1773252148.7066875,19.04296875,78.61328125,-81.54296875,10.7421875,35.15625
1773252148.7105937,19.53125,77.1484375,-95.21484375,5.859375,40.0390625
1773252148.7145,23.92578125,75.68359375,-112.79296875,6.8359375,-0.9765625
1773252148.7184062,27.34375,73.73046875,-105.95703125,12.20703125,-7.8125
1773252148.7223125,29.78515625,71.2890625,-81.0546875,13.671875,18.06640625
1773252148.7262187,33.203125,71.2890625,-77.1484375,20.99609375,45.8984375
1773252148.730125,35.64453125,69.82421875,-103.02734375,24.90234375,41.50390625
1773252148.7340312,50.29296875,66.40625,-112.79296875,17.578125,11.71875
1773252148.7379375,55.6640625,68.84765625,-91.30859375,20.5078125,25.87890625
1773252148.7418437,44.43359375,71.2890625,-77.63671875,27.34375,35.64453125
1773252148.74575,43.45703125,68.84765625,-104.00390625,31.73828125,30.2734375
1773252148.7496562,48.33984375,68.84765625,-125.9765625,22.4609375,-7.8125
1773252148.7535625,42.96875,68.359375,-89.84375,23.92578125,-26.85546875
1773252148.7574687,39.55078125,68.359375,-77.1484375,36.62109375,-16.6015625
1773252148.761375,25.390625,66.40625,-94.7265625,29.296875,45.8984375
1773252148.7652812,14.16015625,62.5,-110.3515625,32.71484375,22.94921875
1773252148.7691875,28.3203125,65.4296875,-103.02734375,38.0859375,-22.94921875
1773252148.7730937,35.64453125,66.89453125,-89.84375,28.80859375,-1.953125
1773252148.777,36.62109375,63.96484375,-110.3515625,23.92578125,39.55078125
1773252148.7809062,35.15625,60.05859375,-119.62890625,31.25,62.98828125
1773252148.7848125,30.76171875,56.640625,-107.91015625,29.296875,44.921875
1773252148.7887187,31.25,57.6171875,-100.09765625,23.4375,22.4609375
1773252148.792625,37.109375,63.4765625,-115.72265625,24.4140625,23.4375
1773252148.7965312,42.48046875,66.89453125,-116.69921875,24.4140625,40.0390625
1773252148.8004375,38.0859375,64.453125,-99.609375,20.5078125,6.8359375
1773252148.8043437,37.59765625,61.03515625,-98.6328125,27.83203125,9.27734375
1773252148.80825,37.109375,62.01171875,-101.5625,35.64453125,25.390625
1773252148.8121562,35.64453125,64.453125,-102.5390625,28.80859375,8.30078125
1773252148.8160625,30.2734375,62.01171875,-104.4921875,28.3203125,15.625
1773252148.8199687,22.94921875,58.59375,-111.81640625,33.69140625,30.2734375
1773252148.823875,32.2265625,59.08203125,-116.2109375,32.71484375,60.05859375
1773252148.8277812,31.25,62.5,-120.60546875,25.87890625,66.40625
1773252148.8316875,27.83203125,62.01171875,-123.046875,20.01953125,73.2421875
1773252148.8355937,33.69140625,60.546875,-127.44140625,28.3203125,7.32421875
1773252148.8395,34.66796875,58.59375,-142.578125,22.94921875,-22.4609375
1773252148.8434062,34.66796875,60.05859375,-116.2109375,12.6953125,25.390625
1773252148.8473125,36.62109375,61.5234375,-109.375,22.4609375,-2.44140625
1773252148.8512187,38.0859375,60.05859375,-129.39453125,28.3203125,-2.44140625
1773252148.855125,34.1796875,60.05859375,-116.69921875,30.76171875,41.50390625
1773252148.8590312,34.66796875,62.01171875,-111.328125,34.66796875,3.41796875
1773252148.8629375,35.64453125,62.01171875,-126.46484375,37.59765625,0.9765625
1773252148.8668437,35.64453125,61.03515625,-133.30078125,32.71484375,27.34375
1773252148.87075,37.59765625,60.05859375,-120.60546875,31.25,59.5703125
1773252148.8746562,38.0859375,57.12890625,-125.48828125,39.0625,64.453125
1773252148.8785625,38.57421875,55.6640625,-135.25390625,36.62109375,31.73828125
1773252148.8824687,42.96875,53.22265625,-152.34375,31.73828125,20.01953125
1773252148.886375,48.828125,53.22265625,-138.18359375,35.15625,13.671875
1773252148.8902812,42.96875,53.7109375,-104.4921875,39.55078125,29.78515625
1773252148.8941875,31.25,53.7109375,-126.46484375,33.69140625,34.66796875
1773252148.8980937,29.296875,53.7109375,-145.5078125,23.4375,-10.25390625
1773252148.902,30.76171875,47.36328125,-132.32421875,31.73828125,4.8828125
1773252148.9059062,27.83203125,47.8515625,-124.0234375,41.015625,75.68359375
1773252148.9098125,34.66796875,58.10546875,-143.06640625,35.15625,101.07421875
1773252148.9137187,34.1796875,64.94140625,-156.73828125,40.52734375,119.140625
1773252148.917625,33.203125,67.3828125,-147.94921875,38.57421875,118.65234375
1773252148.9215312,35.64453125,66.40625,-159.1796875,25.87890625,67.3828125
