timestamp,focus_state,confidence_score,focus_score,relaxed_prob,neutral_prob,concentrating_prob
17:28:59,neutral,0.676,0.6,0.33,0.33,0.34
17:29:00,neutral,0.695,0.6,0.33,0.33,0.34
17:29:01,neutral,0.784,0.6,0.33,0.33,0.34
17:29:03,neutral,0.839,0.6,0.33,0.33,0.34
17:29:04,neutral,0.869,0.6,0.33,0.33,0.34
17:29:05,neutral,0.857,0.6,0.33,0.33,0.34
17:29:07,neutral,0.836,0.6,0.33,0.33,0.34
17:29:08,neutral,0.823,0.6,0.33,0.33,0.34
17:29:10,neutral,0.843,0.6,0.33,0.33,0.34
17:29:11,neutral,0.846,0.6,0.33,0.33,0.34
17:29:13,neutral,0.863,0.6,0.33,0.33,0.34
17:29:15,neutral,0.87,0.6,0.33,0.33,0.34
17:29:17,neutral,0.883,0.6,0.33,0.33,0.34
17:29:19,neutral,0.886,0.6,0.33,0.33,0.34
17:29:21,neutral,0.897,0.6,0.33,0.33,0.34
17:29:24,neutral,0.892,0.6,0.33,0.33,0.34
17:29:26,neutral,0.887,0.6,0.33,0.33,0.34
17:29:29,neutral,0.895,0.6,0.33,0.33,0.34
17:29:31,neutral,0.884,0.6,0.33,0.33,0.34
17:29:34,neutral,0.873,0.6,0.33,0.33,0.34
17:29:37,neutral,0.866,0.6,0.33,0.33,0.34
17:29:41,neutral,0.866,0.6,0.33,0.33,0.34
17:29:44,neutral,0.867,0.6,0.33,0.33,0.34
17:29:48,neutral,0.858,0.6,0.33,0.33,0.34
17:29:52,neutral,0.853,0.6,0.33,0.33,0.34
17:29:56,neutral,0.847,0.6,0.33,0.33,0.34
17:30:00,neutral,0.845,0.6,0.33,0.33,0.34
17:30:05,neutral,0.845,0.6,0.33,0.33,0.34
17:30:09,neutral,0.85,0.6,0.33,0.33,0.34
17:30:15,neutral,0.857,0.6,0.33,0.33,0.34
17:30:20,neutral,0.865,0.6,0.33,0.33,0.34
17:30:26,neutral,0.858,0.6,0.33,0.33,0.34
17:30:31,neutral,0.855,0.6,0.33,0.33,0.34
17:30:38,neutral,0.845,0.6,0.33,0.33,0.34
17:30:44,neutral,0.844,0.6,0.33,0.33,0.34
17:30:51,neutral,0.849,0.6,0.33,0.33,0.34
17:30:59,neutral,0.852,0.6,0.33,0.33,0.34
17:31:06,neutral,0.857,0.6,0.33,0.33,0.34
17:31:15,neutral,0.856,0.6,0.33,0.33,0.34
17:31:24,neutral,0.856,0.6,0.33,0.33,0.34
17:31:34,neutral,0.855,0.6,0.33,0.33,0.34
17:31:43,neutral,0.854,0.6,0.33,0.33,0.34
17:31:54,neutral,0.857,0.6,0.33,0.33,0.34
17:32:04,neutral,0.86,0.6,0.33,0.33,0.34
17:32:15,neutral,0.861,0.6,0.33,0.33,0.34
17:32:27,neutral,0.857,0.6,0.33,0.33,0.34
17:32:39,neutral,0.855,0.6,0.33,0.33,0.34
17:32:52,neutral,0.856,0.6,0.33,0.33,0.34
17:33:06,neutral,0.855,0.6,0.33,0.33,0.34
17:33:20,neutral,0.856,0.6,0.33,0.33,0.34
17:33:35,neutral,0.852,0.6,0.33,0.33,0.34
17:33:51,neutral,0.847,0.6,0.33,0.33,0.34
17:34:08,neutral,0.845,0.6,0.33,0.33,0.34
17:34:25,neutral,0.841,0.6,0.33,0.33,0.34
17:34:43,neutral,0.835,0.6,0.33,0.33,0.34
17:35:01,neutral,0.831,0.6,0.33,0.33,0.34
17:35:20,neutral,0.829,0.6,0.33,0.33,0.34
17:35:39,neutral,0.828,0.6,0.33,0.33,0.34
17:36:00,neutral,0.827,0.6,0.33,0.33,0.34
17:36:22,neutral,0.827,0.6,0.33,0.33,0.34
17:36:45,neutral,0.823,0.6,0.33,0.33,0.34
17:37:08,neutral,0.825,0.6,0.33,0.33,0.34
17:37:33,neutral,0.823,0.6,0.33,0.33,0.34
17:37:59,neutral,0.824,0.6,0.33,0.33,0.34
17:38:26,neutral,0.821,0.6,0.33,0.33,0.34
17:38:54,neutral,0.825,0.6,0.33,0.33,0.34
17:39:23,neutral,0.825,0.6,0.33,0.33,0.34
17:39:54,neutral,0.82,0.6,0.33,0.33,0.34
17:40:28,neutral,0.819,0.6,0.33,0.33,0.34
17:41:03,neutral,0.817,0.6,0.33,0.33,0.34
17:41:38,neutral,0.814,0.6,0.33,0.33,0.34
17:42:16,neutral,0.814,0.6,0.33,0.33,0.34
17:42:56,neutral,0.812,0.6,0.33,0.33,0.34
17:43:37,neutral,0.813,0.6,0.33,0.33,0.34
17:44:21,neutral,0.816,0.6,0.33,0.33,0.34
17:45:07,neutral,0.817,0.6,0.33,0.33,0.34
17:45:55,neutral,0.818,0.6,0.33,0.33,0.34
17:46:45,neutral,0.816,0.6,0.33,0.33,0.34
17:47:39,neutral,0.817,0.6,0.33,0.33,0.34
17:48:35,neutral,0.817,0.6,0.33,0.33,0.34
17:49:34,neutral,0.819,0.6,0.33,0.33,0.34
17:50:36,neutral,0.82,0.6,0.33,0.33,0.34
17:51:42,neutral,0.82,0.6,0.33,0.33,0.34
17:52:52,neutral,0.818,0.6,0.33,0.33,0.34
