timestamps,TP9,AF7,AF8,TP10,Right AUX
1772646781.2116044,34.66796875,9.765625,5.859375,40.0390625,26.85546875
1772646781.2155097,26.85546875,31.25,13.18359375,21.484375,61.5234375
1772646781.2194152,28.3203125,62.5,29.296875,18.5546875,57.6171875
1772646781.2233205,29.78515625,39.0625,23.92578125,34.66796875,-5.859375
1772646781.2272258,21.484375,12.20703125,10.7421875,27.34375,-34.66796875
1772646781.231131,25.390625,28.80859375,18.5546875,27.34375,10.25390625
1772646781.2350366,27.83203125,61.5234375,38.57421875,18.5546875,47.8515625
1772646781.238942,9.765625,51.7578125,28.80859375,19.53125,34.1796875
1772646781.2428472,14.16015625,4.8828125,-2.44140625,37.59765625,0.9765625
1772646781.2467525,29.78515625,21.97265625,6.8359375,40.0390625,-19.53125
1772646781.250658,13.18359375,70.3125,40.52734375,6.34765625,25.87890625
1772646781.2545633,27.34375,51.26953125,27.34375,6.34765625,31.73828125
1772646781.2584734,32.2265625,22.4609375,7.32421875,31.25,17.08984375
1772646781.2623787,17.578125,29.78515625,9.27734375,25.390625,19.53125
1772646781.266284,27.34375,53.7109375,25.390625,15.13671875,12.20703125
1772646781.2701893,28.80859375,60.05859375,36.1328125,15.625,35.15625
1772646781.2740948,28.80859375,24.90234375,6.8359375,22.4609375,20.01953125
1772646781.278,20.99609375,9.765625,-0.9765625,23.92578125,28.80859375
1772646781.2819054,22.4609375,38.57421875,21.97265625,31.73828125,4.8828125
1772646781.2858107,25.390625,59.08203125,33.69140625,30.76171875,-12.6953125
1772646781.2897162,22.94921875,38.57421875,20.5078125,22.94921875,92.28515625
1772646781.2936215,17.578125,11.71875,5.859375,13.18359375,57.6171875
1772646781.2975268,7.32421875,37.59765625,16.6015625,1.953125,33.69140625
1772646781.3014321,20.01953125,51.7578125,30.2734375,19.53125,60.05859375
1772646781.305345,28.80859375,36.1328125,22.4609375,16.6015625,89.35546875
1772646781.3092504,20.01953125,28.3203125,11.23046875,2.9296875,90.33203125
1772646781.313156,14.16015625,29.78515625,14.6484375,18.5546875,63.4765625
1772646781.3170612,9.27734375,56.15234375,32.71484375,16.11328125,45.8984375
1772646781.3209665,20.01953125,51.26953125,27.34375,13.671875,47.36328125
1772646781.3248718,16.6015625,17.08984375,7.32421875,12.20703125,65.91796875
1772646781.3287773,6.34765625,19.53125,5.859375,11.71875,41.9921875
1772646781.3326826,14.6484375,30.2734375,17.578125,3.90625,31.25
1772646781.336588,20.5078125,42.48046875,27.34375,-4.39453125,41.50390625
1772646781.3404932,15.13671875,39.55078125,19.04296875,16.6015625,8.7890625
1772646781.3443987,3.41796875,13.18359375,10.25390625,16.6015625,-31.25
1772646781.348304,3.41796875,35.15625,17.08984375,1.46484375,29.78515625
1772646781.3522124,1.953125,59.08203125,32.71484375,-0.48828125,64.453125
1772646781.3561177,4.8828125,41.015625,27.83203125,6.34765625,16.6015625
1772646781.360023,10.7421875,14.16015625,6.8359375,7.32421875,20.01953125
1772646781.3639283,12.20703125,19.53125,23.4375,14.16015625,-8.30078125
1772646781.3678339,17.08984375,49.8046875,30.76171875,17.578125,-39.0625
1772646781.3717391,23.4375,40.0390625,19.04296875,24.4140625,-1.953125
1772646781.3756444,21.97265625,17.578125,24.90234375,32.71484375,53.7109375
1772646781.37955,0.0,20.01953125,27.34375,3.90625,35.64453125
1772646781.3834553,-13.671875,50.78125,36.62109375,-14.6484375,14.6484375
1772646781.3873606,-3.41796875,57.6171875,40.0390625,-0.9765625,35.64453125
1772646781.3912659,11.71875,5.859375,18.5546875,21.97265625,62.01171875
1772646781.3951714,2.9296875,-7.32421875,11.71875,6.34765625,37.59765625
1772646781.3990831,-2.44140625,42.48046875,40.52734375,-3.41796875,32.71484375
1772646781.4029884,4.39453125,57.6171875,47.8515625,6.34765625,43.45703125
1772646781.4068937,6.8359375,29.78515625,27.34375,4.39453125,24.90234375
1772646781.4107993,4.8828125,17.08984375,19.04296875,25.390625,65.4296875
1772646781.4147046,8.30078125,33.69140625,31.25,30.2734375,56.640625
1772646781.4186099,14.16015625,53.7109375,39.0625,9.765625,51.26953125
1772646781.4225152,-1.953125,26.3671875,13.18359375,-9.27734375,37.59765625
1772646781.4264207,0.48828125,5.37109375,0.9765625,5.37109375,27.34375
1772646781.430326,9.765625,40.0390625,23.92578125,15.625,6.34765625
1772646781.4342313,6.34765625,59.08203125,37.59765625,5.859375,-79.58984375
1772646781.4381366,0.48828125,50.29296875,34.66796875,7.32421875,-38.0859375
1772646781.442042,2.44140625,20.99609375,17.578125,14.16015625,70.3125
1772646781.4459493,-3.41796875,15.625,21.97265625,13.671875,92.7734375
1772646781.4498549,-3.41796875,50.78125,23.92578125,4.39453125,36.62109375
1772646781.4537601,2.44140625,52.24609375,27.34375,8.7890625,-2.9296875
1772646781.4576654,1.953125,20.99609375,21.484375,19.53125,-0.48828125
1772646781.4615707,10.7421875,12.6953125,5.37109375,18.06640625,34.66796875
1772646781.4654763,17.08984375,37.109375,18.06640625,5.37109375,31.25
1772646781.4693816,20.99609375,55.17578125,30.2734375,7.8125,-3.41796875
1772646781.4732869,15.13671875,35.64453125,20.01953125,10.25390625,-13.671875
1772646781.4771922,9.27734375,22.94921875,15.13671875,8.30078125,4.8828125
1772646781.4810977,7.32421875,31.25,19.04296875,8.30078125,10.25390625
1772646781.485003,4.8828125,45.8984375,19.53125,1.46484375,2.9296875
1772646781.4889083,7.32421875,46.875,22.4609375,0.48828125,-7.8125
1772646781.4928193,3.41796875,24.90234375,11.71875,9.765625,-11.71875
1772646781.4967246,2.44140625,32.71484375,17.08984375,7.8125,24.90234375
1772646781.50063,16.6015625,54.19921875,36.62109375,-5.859375,32.71484375
1772646781.5045352,23.92578125,51.7578125,31.73828125,4.8828125,-14.16015625
1772646781.5084407,11.71875,27.34375,15.625,21.97265625,36.1328125
1772646781.512346,6.8359375,12.20703125,6.34765625,19.53125,65.4296875
1772646781.5162513,3.90625,37.59765625,21.97265625,-11.23046875,14.6484375
1772646781.5201566,-3.90625,73.2421875,47.36328125,-19.53125,39.55078125
1772646781.5240622,-3.90625,46.38671875,28.3203125,13.18359375,34.1796875
1772646781.5279675,-4.39453125,22.94921875,9.27734375,20.5078125,-15.625
1772646781.5318727,-6.8359375,47.36328125,26.3671875,17.578125,-44.921875
1772646781.535778,-5.37109375,56.640625,40.0390625,7.8125,-24.4140625
1772646781.5396924,-1.46484375,33.69140625,24.90234375,4.8828125,-9.27734375
1772646781.543598,-2.44140625,17.578125,10.25390625,11.23046875,-15.13671875
1772646781.5475032,-10.25390625,38.57421875,22.4609375,15.13671875,15.625
1772646781.5514085,-10.7421875,63.96484375,33.69140625,-2.9296875,34.1796875
1772646781.5553138,-9.27734375,49.8046875,24.90234375,-8.7890625,22.4609375
1772646781.5592194,-14.16015625,9.765625,7.8125,8.7890625,33.69140625
1772646781.5631247,-5.37109375,22.4609375,8.7890625,21.484375,73.2421875
1772646781.56703,-3.41796875,60.546875,35.15625,7.8125,77.1484375
1772646781.5709355,-1.46484375,41.50390625,31.25,1.46484375,52.24609375
1772646781.5748408,6.8359375,10.7421875,5.859375,21.484375,3.41796875
1772646781.578746,4.8828125,29.78515625,17.578125,28.80859375,-10.25390625
1772646781.5826514,-2.9296875,51.7578125,35.15625,7.8125,-1.953125
1772646781.5865724,-3.90625,55.6640625,39.0625,-4.8828125,17.578125
1772646781.5904777,0.48828125,39.55078125,22.94921875,1.953125,65.91796875
1772646781.5943832,5.37109375,20.99609375,4.8828125,3.41796875,46.38671875
1772646781.5982885,2.9296875,47.8515625,24.4140625,12.6953125,39.55078125
1772646781.6021938,14.16015625,57.12890625,34.66796875,21.97265625,42.48046875
1772646781.6060991,20.5078125,27.83203125,20.99609375,17.578125,39.55078125
1772646781.6100047,9.765625,15.13671875,15.13671875,23.92578125,13.671875
1772646781.61391,4.39453125,32.71484375,26.3671875,7.8125,-5.859375
1772646781.6178153,3.41796875,55.6640625,41.015625,-1.953125,4.39453125
1772646781.6217206,9.27734375,46.875,30.2734375,1.953125,18.5546875
1772646781.625626,-1.953125,21.484375,10.7421875,9.27734375,20.5078125
1772646781.6295314,-9.27734375,23.92578125,22.94921875,14.6484375,-10.25390625
1772646781.6334445,5.859375,31.25,26.3671875,9.27734375,-15.13671875
1772646781.63735,5.37109375,38.57421875,20.01953125,-4.39453125,-27.34375
1772646781.6412554,-3.41796875,36.1328125,25.87890625,-1.46484375,10.7421875
1772646781.6451607,18.5546875,20.5078125,29.296875,38.0859375,75.68359375
1772646781.6490662,45.41015625,47.8515625,34.1796875,38.0859375,45.41015625
1772646781.6529715,-15.625,61.03515625,33.69140625,-31.25,33.203125
1772646781.6568768,-74.21875,33.69140625,28.80859375,-59.5703125,38.0859375
1772646781.660782,-79.58984375,25.87890625,14.6484375,-60.05859375,-3.41796875
1772646781.6646876,-105.46875,37.109375,25.390625,-103.515625,-14.16015625
1772646781.668593,-130.859375,69.82421875,36.1328125,-149.4140625,-19.04296875
1772646781.6724982,-138.18359375,60.05859375,19.04296875,-151.85546875,-28.80859375
1772646781.6764035,-161.62109375,38.57421875,10.7421875,-154.78515625,3.90625
1772646781.6803126,-175.29296875,54.6875,9.27734375,-189.94140625,18.5546875
1772646781.684218,-154.78515625,71.77734375,17.578125,-191.40625,41.9921875
1772646781.6881232,-155.76171875,67.87109375,21.484375,-178.22265625,69.3359375
1772646781.6920285,-157.71484375,44.43359375,5.37109375,-166.50390625,24.90234375
1772646781.695934,-148.4375,44.43359375,4.8828125,-150.390625,26.3671875
1772646781.6998394,-133.7890625,53.22265625,22.4609375,-139.6484375,48.33984375
