timestamp,focus_state,confidence_score,focus_score,relaxed_prob,neutral_prob,concentrating_prob
23:57:54,neutral,0.498,0.6,0.33,0.33,0.34
23:57:55,concentrating,0.61,1.0,0.33,0.33,0.34
23:57:56,concentrating,0.538,1.0,0.33,0.33,0.34
23:57:57,concentrating,0.552,1.0,0.33,0.33,0.34
23:57:58,concentrating,0.582,1.0,0.33,0.33,0.34
23:57:59,concentrating,0.545,1.0,0.33,0.33,0.34
23:58:00,concentrating,0.549,1.0,0.33,0.33,0.34
23:58:01,concentrating,0.533,1.0,0.33,0.33,0.34
23:58:02,concentrating,0.549,1.0,0.33,0.33,0.34
23:58:04,concentrating,0.551,1.0,0.33,0.33,0.34
23:58:05,concentrating,0.536,1.0,0.33,0.33,0.34
23:58:06,concentrating,0.531,1.0,0.33,0.33,0.34
23:58:07,concentrating,0.537,1.0,0.33,0.33,0.34
23:58:08,concentrating,0.532,1.0,0.33,0.33,0.34
23:58:10,concentrating,0.528,1.0,0.33,0.33,0.34
23:58:11,concentrating,0.523,1.0,0.33,0.33,0.34
23:58:12,concentrating,0.53,1.0,0.33,0.33,0.34
23:58:13,concentrating,0.533,1.0,0.33,0.33,0.34
23:58:15,concentrating,0.534,1.0,0.33,0.33,0.34
23:58:16,concentrating,0.529,1.0,0.33,0.33,0.34
23:58:17,concentrating,0.531,1.0,0.33,0.33,0.34
23:58:18,concentrating,0.528,1.0,0.33,0.33,0.34
23:58:20,concentrating,0.527,1.0,0.33,0.33,0.34
23:58:21,concentrating,0.527,1.0,0.33,0.33,0.34
23:58:22,concentrating,0.525,1.0,0.33,0.33,0.34
23:58:24,concentrating,0.527,1.0,0.33,0.33,0.34
23:58:25,concentrating,0.531,1.0,0.33,0.33,0.34
23:58:27,concentrating,0.533,1.0,0.33,0.33,0.34
23:58:28,concentrating,0.53,1.0,0.33,0.33,0.34
23:58:30,concentrating,0.531,1.0,0.33,0.33,0.34
23:58:31,concentrating,0.531,1.0,0.33,0.33,0.34
23:58:33,concentrating,0.538,1.0,0.33,0.33,0.34
23:58:34,concentrating,0.539,1.0,0.33,0.33,0.34
23:58:36,concentrating,0.536,1.0,0.33,0.33,0.34
23:58:37,concentrating,0.539,1.0,0.33,0.33,0.34
23:58:39,concentrating,0.54,1.0,0.33,0.33,0.34
23:58:41,concentrating,0.54,1.0,0.33,0.33,0.34
23:58:42,concentrating,0.542,1.0,0.33,0.33,0.34
23:58:44,concentrating,0.544,1.0,0.33,0.33,0.34
23:58:46,concentrating,0.546,1.0,0.33,0.33,0.34
23:58:47,concentrating,0.545,1.0,0.33,0.33,0.34
23:58:49,concentrating,0.549,1.0,0.33,0.33,0.34
23:58:51,concentrating,0.546,1.0,0.33,0.33,0.34
