timestamp,focus_state,confidence_score,focus_score,relaxed_prob,neutral_prob,concentrating_prob
18:30:39,neutral,0.608,0.6,0.33,0.33,0.34
18:30:40,neutral,0.607,0.6,0.33,0.33,0.34
18:30:42,neutral,0.648,0.6,0.33,0.33,0.34
18:30:43,neutral,0.644,0.6,0.33,0.33,0.34
18:30:44,neutral,0.682,0.6,0.33,0.33,0.34
18:30:46,neutral,0.724,0.6,0.33,0.33,0.34
18:30:47,neutral,0.765,0.6,0.33,0.33,0.34
18:30:49,neutral,0.765,0.6,0.33,0.33,0.34
18:30:50,concentrating,0.761,1.0,0.33,0.33,0.34
18:30:52,concentrating,0.774,1.0,0.33,0.33,0.34
18:30:53,concentrating,0.789,1.0,0.33,0.33,0.34
18:30:55,concentrating,0.78,1.0,0.33,0.33,0.34
18:30:56,concentrating,0.769,1.0,0.33,0.33,0.34
18:30:58,concentrating,0.759,1.0,0.33,0.33,0.34
18:31:00,neutral,0.753,0.6,0.33,0.33,0.34
18:31:02,neutral,0.752,0.6,0.33,0.33,0.34
18:31:04,neutral,0.746,0.6,0.33,0.33,0.34
18:31:06,neutral,0.729,0.6,0.33,0.33,0.34
18:31:08,neutral,0.73,0.6,0.33,0.33,0.34
18:31:11,neutral,0.715,0.6,0.33,0.33,0.34
18:31:13,neutral,0.703,0.6,0.33,0.33,0.34
18:31:15,neutral,0.694,0.6,0.33,0.33,0.34
18:31:18,neutral,0.688,0.6,0.33,0.33,0.34
18:31:21,neutral,0.679,0.6,0.33,0.33,0.34
18:31:24,neutral,0.678,0.6,0.33,0.33,0.34
18:31:26,neutral,0.678,0.6,0.33,0.33,0.34
18:31:30,neutral,0.683,0.6,0.33,0.33,0.34
18:31:33,neutral,0.679,0.6,0.33,0.33,0.34
18:31:37,neutral,0.678,0.6,0.33,0.33,0.34
18:31:40,neutral,0.679,0.6,0.33,0.33,0.34
18:31:44,concentrating,0.678,1.0,0.33,0.33,0.34
18:31:48,concentrating,0.684,1.0,0.33,0.33,0.34
18:31:52,concentrating,0.688,1.0,0.33,0.33,0.34
18:31:56,concentrating,0.692,1.0,0.33,0.33,0.34
18:32:01,concentrating,0.701,1.0,0.33,0.33,0.34
18:32:06,concentrating,0.705,1.0,0.33,0.33,0.34
18:32:11,concentrating,0.708,1.0,0.33,0.33,0.34
18:32:16,concentrating,0.715,1.0,0.33,0.33,0.34
18:32:21,concentrating,0.719,1.0,0.33,0.33,0.34
18:32:27,concentrating,0.704,1.0,0.33,0.33,0.34
18:32:33,concentrating,0.707,1.0,0.33,0.33,0.34
18:32:39,concentrating,0.706,1.0,0.33,0.33,0.34
18:32:46,concentrating,0.702,1.0,0.33,0.33,0.34
18:32:52,concentrating,0.698,1.0,0.33,0.33,0.34
18:33:00,concentrating,0.701,1.0,0.33,0.33,0.34
18:33:08,concentrating,0.708,1.0,0.33,0.33,0.34
18:33:16,concentrating,0.712,1.0,0.33,0.33,0.34
18:33:26,concentrating,0.718,1.0,0.33,0.33,0.34
18:33:36,concentrating,0.716,1.0,0.33,0.33,0.34
18:33:47,concentrating,0.717,1.0,0.33,0.33,0.34
18:33:59,concentrating,0.715,1.0,0.33,0.33,0.34
18:34:11,concentrating,0.713,1.0,0.33,0.33,0.34
18:34:25,concentrating,0.715,1.0,0.33,0.33,0.34
18:34:39,concentrating,0.712,1.0,0.33,0.33,0.34
18:34:55,concentrating,0.71,1.0,0.33,0.33,0.34
18:35:12,concentrating,0.71,1.0,0.33,0.33,0.34
18:35:30,concentrating,0.718,1.0,0.33,0.33,0.34
18:35:50,concentrating,0.724,1.0,0.33,0.33,0.34
18:36:11,neutral,0.72,0.6,0.33,0.33,0.34
18:36:33,neutral,0.724,0.6,0.33,0.33,0.34
18:36:57,neutral,0.726,0.6,0.33,0.33,0.34
18:37:22,neutral,0.728,0.6,0.33,0.33,0.34
18:37:49,neutral,0.743,0.6,0.33,0.33,0.34
18:38:17,neutral,0.755,0.6,0.33,0.33,0.34
18:38:46,concentrating,0.764,1.0,0.33,0.33,0.34
18:39:17,concentrating,0.773,1.0,0.33,0.33,0.34
18:39:50,concentrating,0.779,1.0,0.33,0.33,0.34
18:40:25,concentrating,0.788,1.0,0.33,0.33,0.34
18:41:01,concentrating,0.795,1.0,0.33,0.33,0.34
18:41:39,concentrating,0.802,1.0,0.33,0.33,0.34
18:42:20,concentrating,0.808,1.0,0.33,0.33,0.34
18:43:03,concentrating,0.814,1.0,0.33,0.33,0.34
18:43:49,concentrating,0.818,1.0,0.33,0.33,0.34
18:44:36,concentrating,0.825,1.0,0.33,0.33,0.34
18:45:26,concentrating,0.826,1.0,0.33,0.33,0.34
18:46:20,concentrating,0.831,1.0,0.33,0.33,0.34
18:47:15,concentrating,0.836,1.0,0.33,0.33,0.34
18:48:13,concentrating,0.842,1.0,0.33,0.33,0.34
18:49:15,concentrating,0.845,1.0,0.33,0.33,0.34
18:50:21,concentrating,0.847,1.0,0.33,0.33,0.34
18:51:31,concentrating,0.849,1.0,0.33,0.33,0.34
18:52:45,concentrating,0.851,1.0,0.33,0.33,0.34
18:54:03,concentrating,0.853,1.0,0.33,0.33,0.34
18:55:27,concentrating,0.854,1.0,0.33,0.33,0.34
18:56:58,concentrating,0.86,1.0,0.33,0.33,0.34
